StateFIPS,State,Year,Value,Data Comment,,Pollutant
17,Illinois,2017,0.51,,,Pollutant: Carbon tetrachloride
17,Illinois,2018,0.23,,,Pollutant: Benzene
17,Illinois,2018,0.92,,,Pollutant: Formaldehyde
17,Illinois,2018,0.66,,,Pollutant: Acetaldehyde
17,Illinois,2018,0.38,,,Pollutant: Carbon tetrachloride
17,Illinois,2018,0.01,,,"Pollutant: 1,3-butadiene"
18,Indiana,2005,0.62,,,Pollutant: Benzene
18,Indiana,2005,1.61,,,Pollutant: Formaldehyde
18,Indiana,2005,1.7,,,Pollutant: Acetaldehyde
18,Indiana,2005,0.61,,,Pollutant: Carbon tetrachloride
18,Indiana,2005,0.04,,,"Pollutant: 1,3-butadiene"
18,Indiana,2011,0.66,,,Pollutant: Benzene
18,Indiana,2011,1.32,,,Pollutant: Formaldehyde
18,Indiana,2011,1.85,,,Pollutant: Acetaldehyde
18,Indiana,2011,0.55,,,Pollutant: Carbon tetrachloride
18,Indiana,2011,0.04,,,"Pollutant: 1,3-butadiene"
18,Indiana,2014,0.39,,,Pollutant: Benzene
18,Indiana,2014,1.06,,,Pollutant: Formaldehyde
18,Indiana,2014,0.88,,,Pollutant: Acetaldehyde
18,Indiana,2014,0.54,,,Pollutant: Carbon tetrachloride
18,Indiana,2014,0.02,,,"Pollutant: 1,3-butadiene"
18,Indiana,2017,0.21,,,Pollutant: Benzene
18,Indiana,2017,0.99,,,Pollutant: Formaldehyde
18,Indiana,2017,0.76,,,Pollutant: Acetaldehyde
18,Indiana,2017,0.51,,,Pollutant: Carbon tetrachloride
18,Indiana,2018,0.23,,,Pollutant: Benzene
18,Indiana,2018,0.91,,,Pollutant: Formaldehyde
18,Indiana,2018,0.67,,,Pollutant: Acetaldehyde
18,Indiana,2018,0.38,,,Pollutant: Carbon tetrachloride
18,Indiana,2018,0.01,,,"Pollutant: 1,3-butadiene"
19,Iowa,2005,0.71,,,Pollutant: Benzene
19,Iowa,2005,1.5,,,Pollutant: Formaldehyde
19,Iowa,2005,1.54,,,Pollutant: Acetaldehyde
19,Iowa,2005,0.61,,,Pollutant: Carbon tetrachloride
19,Iowa,2005,0.03,,,"Pollutant: 1,3-butadiene"
19,Iowa,2011,0.55,,,Pollutant: Benzene
19,Iowa,2011,1.17,,,Pollutant: Formaldehyde
19,Iowa,2011,1.63,,,Pollutant: Acetaldehyde
19,Iowa,2011,0.55,,,Pollutant: Carbon tetrachloride
19,Iowa,2011,0.04,,,"Pollutant: 1,3-butadiene"
19,Iowa,2014,0.27,,,Pollutant: Benzene
19,Iowa,2014,0.87,,,Pollutant: Formaldehyde
19,Iowa,2014,0.73,,,Pollutant: Acetaldehyde
19,Iowa,2014,0.54,,,Pollutant: Carbon tetrachloride
19,Iowa,2014,0.01,,,"Pollutant: 1,3-butadiene"
19,Iowa,2017,0.17,,,Pollutant: Benzene
19,Iowa,2017,0.82,,,Pollutant: Formaldehyde
19,Iowa,2017,0.63,,,Pollutant: Acetaldehyde
19,Iowa,2017,0.51,,,Pollutant: Carbon tetrachloride
19,Iowa,2018,0.22,,,Pollutant: Benzene
19,Iowa,2018,0.75,,,Pollutant: Formaldehyde
19,Iowa,2018,0.53,,,Pollutant: Acetaldehyde
19,Iowa,2018,0.38,,,Pollutant: Carbon tetrachloride
19,Iowa,2018,0,,,"Pollutant: 1,3-butadiene"
20,Kansas,2005,0.74,,,Pollutant: Benzene
20,Kansas,2005,1.75,,,Pollutant: Formaldehyde
20,Kansas,2005,1.72,,,Pollutant: Acetaldehyde
20,Kansas,2005,0.61,,,Pollutant: Carbon tetrachloride
20,Kansas,2005,0.04,,,"Pollutant: 1,3-butadiene"
20,Kansas,2011,0.56,,,Pollutant: Benzene
20,Kansas,2011,1.71,,,Pollutant: Formaldehyde
20,Kansas,2011,2.19,,,Pollutant: Acetaldehyde
20,Kansas,2011,0.55,,,Pollutant: Carbon tetrachloride
20,Kansas,2011,0.04,,,"Pollutant: 1,3-butadiene"
20,Kansas,2014,0.24,,,Pollutant: Benzene
20,Kansas,2014,1.22,,,Pollutant: Formaldehyde
20,Kansas,2014,0.91,,,Pollutant: Acetaldehyde
20,Kansas,2014,0.52,,,Pollutant: Carbon tetrachloride
20,Kansas,2014,0.01,,,"Pollutant: 1,3-butadiene"
20,Kansas,2017,0.15,,,Pollutant: Benzene
