Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
A Quick & Easy Guide to Queer & Trans Identities,716,"G., Mady",Banned in Libraries and Classrooms,"Zuckerberg, J. R.",nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.91,44290.0
A Quick & Easy Guide to Queer & Trans Identities,717,"G., Mady",Banned in Libraries and Classrooms,"Zuckerberg, J. R.",nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.91,44290.0
A Quick & Easy Guide to They/Them Pronouns,255,"Bongiovanni, Archie",Banned in Libraries and Classrooms,"Jimerson, Tristan",nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.91,44290.0
A Raisin in the Sun,858,"Hansberry, Lorraine",Banned in Libraries and Classrooms,nan,nan,nan,Oklahoma,Edmond Public Schools,October 2021,Administrator,3.85,96863.0
A Splash of Red: The Life and Art of Horace Pippin,303,"Bryant, Jen",Banned in Classrooms,nan,"Sweet, Melissa",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.88,5245.0
A Storm Called Katrina,2385,"Uhlberg, Myron",Banned Pending Investigation,nan,"Bootman, Colin",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.06,398.0
A Sweet Smell of Roses,1061,"Johnson, Angela",Banned Pending Investigation,nan,"Velásquez, Eric",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.31,828.0
"A Very, Very Bad Thing",2121,"Self, Jeffery",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.32,697.0
A is for Activist,1699,"Nagara, Innosanto",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.24,2526.0
A is for Audra: Broadway's Leading Ladies from A to Z,63,"Allman, John Robert",Banned in Classrooms,nan,"Emmerich, Peter",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.38,404.0
A ​Court of Silver Flames (A Court of Thorns and Roses Series),1442,"Maas, Sarah J.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.82,16080.0
A ​Court of Silver Flames (A Court of Thorns and Roses Series),1443,"Maas, Sarah J.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Hernando School District,November 2021,Administrator,4.82,16080.0
Abortion,1129,"Juettner, Bonnie",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.52,4254.0
Abortion (Opposing Viewpoints Series),2374,"Torr, James D.",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,November 2021,Administrator,4.0,6.0
Absolute Brightness,1325,"Lecesne, Celeste",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.64,1030.0
Abuela,561,"Dorros, Arthur",Banned Pending Investigation,nan,"Kleven, Elisa",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.9,2258.0
Ace of Spades,0,"Àbíké-Íyímídé, Faridah",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.17,84030.0
Act Cool,1537,"McSmith, Tobly",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.8,3633.0
Ada Byron Lovelace and the Thinking Machine,2428,"Wallmark, Laurie",Banned in Classrooms,nan,"Chu, April",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.19,777.0
Aesop Lake,2440,"Ward, Sarah",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.68,62.0
After,596,"Efaw, Amy",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.22,519193.0
After,597,"Efaw, Amy",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.22,519193.0
After We Collided (After Series),2365,"Todd, Anna",Banned in Libraries and Classrooms,nan,nan,nan,Georgia,Cherokee County School District,January 2022,Formal Challenge,3.72,207762.0
Afterworlds (Afterworlds Series),2456,"Westerfeld, Scott",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.33,3.0
Afterworlds (Afterworlds Series),2457,"Westerfeld, Scott",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.33,3.0
Afterworlds (Afterworlds Series),2458,"Westerfeld, Scott",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.33,3.0
Alan Cole Is Not a Coward,204,"Bell, Eric",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.75,1339.0
Alex As Well,302,"Brugman, Alyssa",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.46,1969.0
"Alison, Who Went Away",2397,"Vande Velde, Vivian",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.26,113.0
All American Boys,1924,"Reynolds, Jason",Banned in Libraries and Classrooms,"Kiely, Brendan",nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.3,45818.0
All American Boys,1925,"Reynolds, Jason",Banned in Libraries,"Kiely, Brendan",nan,nan,Indiana,Middlebury Community Schools,December 2021,Administrator,4.3,45818.0
All American Boys,1926,"Reynolds, Jason",Banned in Libraries,"Kiely, Brendan",nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,4.3,45818.0
All American Boys,1927,"Reynolds, Jason",Banned in Classrooms,"Kiely, Brendan",nan,nan,North Carolina,Pitt County Schools,November 2021,Formal Challenge,4.3,45818.0
All American Boys,1928,"Reynolds, Jason",Banned Pending Investigation,"Kiely, Brendan",nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.3,45818.0
All American Boys,1929,"Reynolds, Jason",Banned in Classrooms,"Kiely, Brendan",nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.3,45818.0
All American Boys,1930,"Reynolds, Jason",Banned Pending Investigation,"Kiely, Brendan",nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.3,45818.0
All American Boys,1931,"Reynolds, Jason",Banned in Libraries,"Kiely, Brendan",nan,nan,Texas,Katy Independent School District,October 2021,Administrator,4.3,45818.0
All American Boys,1932,"Reynolds, Jason",Banned Pending Investigation,"Kiely, Brendan",nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.3,45818.0
All Are Welcome,1803,"Penfold, Alexandra",Banned in Classrooms,nan,"Kaufman, Suzanne",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.89,11721.0
