Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
And She Was,2407,"Verdi, Jessica",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.94,18695.0
And Still I Rise,102,"Angelou, Maya",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,December 2021,Administrator,4.41,9353.0
And Still the Turtle Watched,1455,"MacGill-Callahan, Sheila",Banned Pending Investigation,nan,"Moser, Barry",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.84,85.0
And Tango Makes Three,1952,"Richardson, Justin",Banned in Libraries and Classrooms,"Parnell, Peter","Cole, Henry",nan,Florida,Broward County Public Schools,June 2022,Administrator,4.34,13029.0
And Tango Makes Three,1953,"Richardson, Justin",Banned Pending Investigation,"Parnell, Peter","Cole, Henry",nan,Florida,Lee County Schools,February 2022,Administrator,4.34,13029.0
And Tango Makes Three,1954,"Richardson, Justin",Banned Pending Investigation,"Parnell, Peter","Cole, Henry",nan,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,4.34,13029.0
And Tango Makes Three,1955,"Richardson, Justin",Banned Pending Investigation,"Parnell, Peter","Cole, Henry",nan,Florida,Walton County School District,April 2022,Administrator,4.34,13029.0
And Tango Makes Three,1956,"Richardson, Justin",Banned Pending Investigation,"Parnell, Peter","Cole, Henry",nan,Texas,North East Independent School District,December 2021,Administrator,4.34,13029.0
Anger Is a Gift,1760,"Oshiro, Mark",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.01,6112.0
Anna Hibiscus (Anna Hibiscus Series),133,Atinuke,Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.47,419.0
Anne Frank's Diary: The Graphic Adaptation,697,"Folman, Ari",Banned in Libraries,"Frank, Anne","Polonsky, David",nan,Texas,Katy Independent School District,January 2022,Administrator,4.38,17953.0
Annie on My Mind,731,"Garden, Nancy",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.02,52141.0
Another,1969,"Robinson, Christian",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.8,259056.0
Another Kind of Cowboy,1126,"Juby, Susan",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.64,652.0
Another Kind of Cowboy,1127,"Juby, Susan",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.64,652.0
Another Kind of Cowboy,1128,"Juby, Susan",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.64,652.0
Any Small Goodness: A Novel of the Barrio,1115,"Johnston, Tony",Banned Pending Investigation,nan,"Colon, Raul",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.62,587.0
Any Way the Wind Blows (Simon Snow Series),2005,"Rowell, Rainbow",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.59,136.0
Archenemy,910,"Hoblin, Paul",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.26,86000.0
Are You LGBTQ?,1700,"Nagle, Jeanne",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.33,3.0
Around Our Way on Neighbors' Day,294,"Brown, Tameka Fryer",Banned in Classrooms,nan,"Riley-Webb, Charlotte",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.69,95.0
As Brave As You,1933,"Reynolds, Jason",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.05,7873.0
As Far As You'll Take Me,2230,"Stamper, Phil",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.49,4869.0
As Far As You'll Take Me,2231,"Stamper, Phil",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.49,4869.0
As Fast as Words Could Fly,2378,"Tuck, Pamela M.",Banned in Classrooms,nan,"Velásquez, Eric",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.39,607.0
As I Descended,2283,"Talley, Robin",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.48,3702.0
As I Descended,2284,"Talley, Robin",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.48,3702.0
As I Descended,2285,"Talley, Robin",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.48,3702.0
Ash,1377,"Lo, Malinda",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.24,576387.0
Ash,1378,"Lo, Malinda",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,December 2021,Administrator,4.24,576387.0
Ash,1379,"Lo, Malinda",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.24,576387.0
Ashes to Asheville,560,"Dooley, Sarah",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.77,876.0
Ask Me How I Got Here,894,"Heppermann, Christine",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.19,1702.0
Ask the Passengers,1204,"King, A. S.",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.84,25049.0
Ask the Passengers,1205,"King, A. S.",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.84,25049.0
Ask the Passengers,1206,"King, A. S.",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.84,25049.0
Asking for It,1746,"O'Neill, Louise",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,4.01,22732.0
At the Edge of the Universe,998,"Hutchinson, Shaun David",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.14,6129.0
At the Mountain's Base,2214,"Sorell, Traci",Banned Pending Investigation,nan,"Alvitre, Weshoyot",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.12,990.0
Autoboyography,1314,"Lauren, Christina",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.13,56363.0
Away We Go,1765,"Ostrovski, Emil",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,2.99,466.0
Baby & Solo,1887,"Posthuma, Lisabeth",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.76,170858.0
Bait,2049,"Sanchez, Alex",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.96,15527.0
Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,1657,"Moss, Marissa",Banned Pending Investigation,nan,"Shimizu, Yuko",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.19,858.0
Baseball Saved Us,1597,"Mochizuki, Ken",Banned in Libraries and Classrooms,nan,"Lee, Dom",nan,Florida,Indian River County School District,November 2021,Administrator,4.24,3828.0
Bat and the Waiting Game (A Boy Called Bat Series),112,"Arnold, Elana K.",Banned in Classrooms,nan,"Santoso, Charles",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.25,1305.0
Be Dazzled,1297,"La Sala, Ryan",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.98,2976.0
"Be Strong, Be Wise: The Young Adult’s Guide to Sexual Assault Awareness and Personal Safety",341,"Carpenter, Amy R.",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.0,3.0
Beast,2222,"Spangler, Brie",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.96,401106.0
Beautiful,1918,"Reed, Amy",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.01,684150.0
Beautiful Bastard (Beautiful Bastard Series),1315,"Lauren, Christina",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.43,676.0
Beautiful Music for Ugly Children,467,"Cronn-Mills, Kirstin",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.9,7082.0
Because,2474,"Willems, Mo",Banned in Classrooms,nan,"Ren, Amber",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.09,257720.0
Before I Fall,1748,"Oliver, Lauren",Banned Pending Investigation,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,3.89,337736.0
Before John Was a Jazz Giant: A Song of John Coltrane,2446,"Weatherford, Carole Boston",Banned in Classrooms,nan,"Qualls, Sean",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.12,552.0
Before She Was Harriet,407,"Cline-Ransome, Lesa",Banned Pending Investigation,nan,"Ransome, James E.",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.5,2267.0
Before the Ever After,2497,"Woodson, Jacqueline",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.19,14341.0
Being Jazz: My Life as a (Transgender) Teen,1042,"Jennings, Jazz",Banned Pending Investigation,nan,nan,nan,Florida,Lee County Schools,March 2022,Administrator,3.87,5328.0
Being Jazz: My Life as a (Transgender) Teen,1043,"Jennings, Jazz",Banned in Libraries,nan,nan,nan,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,3.87,5328.0
Being Jazz: My Life as a (Transgender) Teen,1044,"Jennings, Jazz",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.87,5328.0
Being Jazz: My Life as a (Transgender) Teen,1045,"Jennings, Jazz",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.87,5328.0
Being Jazz: My Life as a (Transgender) Teen,1046,"Jennings, Jazz",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.87,5328.0
Being Jazz: My Life as a (Transgender) Teen,1047,"Jennings, Jazz",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.87,5328.0
Being Transgender: What You Should Know,221,"Bevan, Thomas E.",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.76,21.0
Being the Change: Lessons and Strategies to Teach Social Comprehension,20,"Ahmed, Sara K.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.43,844.0
Being the Change: Lessons and Strategies to Teach Social Comprehension,21,"Ahmed, Sara K.",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.43,844.0
Beloved,1617,"Morrison, Toni",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.95,437085.0
Beloved,1618,"Morrison, Toni",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Jackson County School District,April 2022,Administrator,3.95,437085.0
Beloved,1619,"Morrison, Toni",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Lee County Schools,March 2022,Administrator,3.95,437085.0
Beloved,1620,"Morrison, Toni",Banned in Libraries,nan,nan,nan,Florida,Polk County Public Schools,January 2022,Administrator,3.95,437085.0
Beloved,1621,"Morrison, Toni",Banned Pending Investigation,nan,nan,nan,Florida,Santa Rosa County District Schools,April 2022,Administrator,3.95,437085.0
Beloved,1622,"Morrison, Toni",Banned in Libraries,nan,nan,nan,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,3.95,437085.0
Beloved,1623,"Morrison, Toni",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.95,437085.0
Beloved,1624,"Morrison, Toni",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,3.95,437085.0
Beloved,1625,"Morrison, Toni",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,3.95,437085.0
Beloved,1626,"Morrison, Toni",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,February 2022,Administrator,3.95,437085.0
Beloved,1627,"Morrison, Toni",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,November 2021,Administrator,3.95,437085.0
"Bend, Don't Shatter: Poets on the Beginning of Desire",1902,"Rachel, T. Cole",Banned in Libraries and Classrooms,"Costello, Rita D.",nan,nan,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator,3.71,38.0
Beneath a Meth Moon: An Elegy,2498,"Woodson, Jacqueline",Banned in Libraries,nan,nan,nan,Florida,Lee County Schools,May 2022,Administrator,3.7,4544.0
Betrayed (House of Night Series),351,"Cast, P. C.",Banned in Libraries and Classrooms,"Cast, Kristin",nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.23,31.0
Between Mom and Jo,1832,"Peters, Julie Anne",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.9,3209.0
Between Perfect and Real,2260,"Stoeve, Ray",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.0,2641.0
Between Shades of Gray,2123,"Sepetys, Ruta",Banned in Libraries,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.37,243817.0
Between Us and Abuela: A Family Story from the Border,1829,"Perkins, Mitali",Banned Pending Investigation,nan,"Palacios, Sara",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.35,948.0
Between the World and Me,408,"Coates, Ta-Nehisi",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.4,333783.0
Between the World and Me,409,"Coates, Ta-Nehisi",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.4,333783.0
Beyond Dreams (Hamilton High Series),1942,"Reynolds, Marilyn",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.08,60.0
Beyond Magenta: Transgender Teens Speak Out,1283,"Kuklin, Susan",Banned in Libraries and Classrooms,nan,nan,nan,Arkansas,Siloam Springs School District,January 2022,Formal Challenge,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1284,"Kuklin, Susan",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1285,"Kuklin, Susan",Banned in Libraries and Classrooms,nan,nan,nan,Georgia,Cherokee County School District,February 2022,Formal Challenge,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1286,"Kuklin, Susan",Banned Pending Investigation,nan,nan,nan,New York,Yorktown Central School District,January 2022,Formal Challenge,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1287,"Kuklin, Susan",Banned Pending Investigation,nan,nan,nan,Texas,Birdville Independent School District,October 2021,Formal Challenge,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1288,"Kuklin, Susan",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1289,"Kuklin, Susan",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,November 2021,Administrator,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1290,"Kuklin, Susan",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1291,"Kuklin, Susan",Banned Pending Investigation,nan,nan,nan,Texas,Waller Independent School District,November 2021,Administrator,3.81,5035.0
Beyond Magenta: Transgender Teens Speak Out,1292,"Kuklin, Susan",Banned Pending Investigation,nan,nan,nan,Utah,Canyons School District,October 2021,Administrator,3.81,5035.0
