StateFIPS,State,Year,Value,Data Comment,,Gender
16,Idaho,2009,9.3,,,Female
16,Idaho,2010,43.8,,,Male
16,Idaho,2010,9.6,,,Female
16,Idaho,2011,36.3,,,Male
16,Idaho,2011,9.6,,,Female
16,Idaho,2012,40.9,,,Male
16,Idaho,2012,7.4,,,Female
16,Idaho,2013,39,,,Male
16,Idaho,2013,8.1,,,Female
16,Idaho,2014,37.1,,,Male
16,Idaho,2014,9.7,,,Female
16,Idaho,2015,33.9,,,Male
16,Idaho,2015,10.2,,,Female
16,Idaho,2016,37.2,,,Male
16,Idaho,2016,8.2,,,Female
16,Idaho,2017,38.8,,,Male
16,Idaho,2017,8.5,,,Female
16,Idaho,2018,35.2,,,Male
16,Idaho,2018,7.5,,,Female
16,Idaho,2019,39.1,,,Male
16,Idaho,2019,7.1,,,Female
16,Idaho,2020,30.1,,,Male
16,Idaho,2020,7.6,,,Female
17,Illinois,2001,39.9,,,Male
17,Illinois,2001,10.1,,,Female
17,Illinois,2002,43.1,,,Male
17,Illinois,2002,10.3,,,Female
17,Illinois,2003,41.9,,,Male
17,Illinois,2003,11.4,,,Female
17,Illinois,2004,41.9,,,Male
17,Illinois,2004,10.1,,,Female
17,Illinois,2005,41.7,,,Male
17,Illinois,2005,11,,,Female
17,Illinois,2006,38.4,,,Male
17,Illinois,2006,10.5,,,Female
17,Illinois,2007,39.6,,,Male
17,Illinois,2007,10.1,,,Female
17,Illinois,2008,41.1,,,Male
17,Illinois,2008,10.4,,,Female
17,Illinois,2009,41.4,,,Male
17,Illinois,2009,10,,,Female
17,Illinois,2010,38.7,,,Male
17,Illinois,2010,9.3,,,Female
17,Illinois,2011,37.6,,,Male
17,Illinois,2011,9.8,,,Female
17,Illinois,2012,36.6,,,Male
17,Illinois,2012,9.4,,,Female
17,Illinois,2013,39.1,,,Male
17,Illinois,2013,9.6,,,Female
17,Illinois,2014,37.1,,,Male
17,Illinois,2014,9.3,,,Female
17,Illinois,2015,37.5,,,Male
17,Illinois,2015,9.9,,,Female
17,Illinois,2016,36.3,,,Male
17,Illinois,2016,9.2,,,Female
17,Illinois,2017,36.3,,,Male
17,Illinois,2017,8.5,,,Female
17,Illinois,2018,33.1,,,Male
17,Illinois,2018,8.7,,,Female
17,Illinois,2019,34,,,Male
17,Illinois,2019,8.4,,,Female
17,Illinois,2020,31.9,,,Male
17,Illinois,2020,7.9,,,Female
18,Indiana,2001,37.2,,,Male
18,Indiana,2001,9.4,,,Female
18,Indiana,2002,37.7,,,Male
18,Indiana,2002,9.4,,,Female
18,Indiana,2003,40.2,,,Male
18,Indiana,2003,10.9,,,Female
18,Indiana,2004,40.4,,,Male
18,Indiana,2004,10,,,Female
18,Indiana,2005,40.7,,,Male
18,Indiana,2005,9.3,,,Female
18,Indiana,2006,36.6,,,Male
18,Indiana,2006,9.4,,,Female
18,Indiana,2007,37.5,,,Male
18,Indiana,2007,9.3,,,Female
18,Indiana,2008,38.3,,,Male
18,Indiana,2008,9.5,,,Female
18,Indiana,2009,38,,,Male
18,Indiana,2009,8.5,,,Female
18,Indiana,2010,35.8,,,Male
18,Indiana,2010,8.7,,,Female
18,Indiana,2011,38.2,,,Male
18,Indiana,2011,9.1,,,Female
18,Indiana,2012,38.5,,,Male
18,Indiana,2012,9.3,,,Female
18,Indiana,2013,38.9,,,Male
18,Indiana,2013,9.7,,,Female
18,Indiana,2014,41.1,,,Male
18,Indiana,2014,9.9,,,Female
18,Indiana,2015,39.9,,,Male
18,Indiana,2015,8.9,,,Female
18,Indiana,2017,37.9,,,Male
18,Indiana,2017,9.4,,,Female
18,Indiana,2018,36.1,,,Male
18,Indiana,2018,9.4,,,Female
18,Indiana,2019,33.7,,,Male
18,Indiana,2019,8,,,Female
19,Iowa,2001,41.1,,,Male
19,Iowa,2001,9.8,,,Female
19,Iowa,2002,38.4,,,Male
19,Iowa,2002,10.4,,,Female
19,Iowa,2003,40.7,,,Male
19,Iowa,2003,10.9,,,Female
19,Iowa,2004,42.7,,,Male
19,Iowa,2004,9.8,,,Female
19,Iowa,2005,43,,,Male
19,Iowa,2005,8.7,,,Female
19,Iowa,2006,43,,,Male
19,Iowa,2006,8.8,,,Female
19,Iowa,2007,41.9,,,Male
19,Iowa,2007,8.4,,,Female
19,Iowa,2008,40.2,,,Male
19,Iowa,2008,8.7,,,Female
19,Iowa,2009,44.3,,,Male
19,Iowa,2009,8.8,,,Female
19,Iowa,2010,39.8,,,Male
19,Iowa,2010,9.5,,,Female
19,Iowa,2011,40.4,,,Male
19,Iowa,2011,8,,,Female
19,Iowa,2012,38.9,,,Male
19,Iowa,2012,9.3,,,Female
19,Iowa,2013,37.1,,,Male
19,Iowa,2013,8.6,,,Female
19,Iowa,2014,38,,,Male
19,Iowa,2014,9.8,,,Female
19,Iowa,2015,39.8,,,Male
19,Iowa,2015,8.2,,,Female
19,Iowa,2016,36.8,,,Male
19,Iowa,2016,8.8,,,Female
19,Iowa,2017,38.8,,,Male
19,Iowa,2017,8.9,,,Female
19,Iowa,2018,39.6,,,Male
19,Iowa,2018,8.4,,,Female
